date,spread21_Q1,spread21_Q2,spread21_Q3,spread21_Q4,spread21_Q5,spread7_Q1,spread7_Q2,spread7_Q3,spread7_Q4,spread7_Q5,return_Q1,return_Q2,return_Q3,return_Q4,return_Q5
2024-03-13,,,,,,0.0008786157257140806,0.0007475493587093285,0.000489775731878035,0.0005237319365078285,0.00045529089441170487,,,,,
2024-03-14,,,,,,0.0010411764974571048,0.0009394117889691592,0.000748385977019225,0.0009291408586124797,0.0010405281055091999,,,,,
2024-03-15,,,,,,0.0013782479744192046,0.00113010337990358,0.001063198563379552,0.0012690890068130715,0.0014133804282533003,,,,,
2024-03-18,,,,,,0.0015488071878238998,0.0017304229636061334,0.0014784672284067447,0.0012834080260878348,0.001525091414027377,,,,,
2024-03-19,,,,,,0.0009185062354519428,0.0007613229405249,0.0008277371362719238,0.0008881790543285399,0.000646088686175138,,,,,
2024-03-20,,,,,,0.0003382681255109593,0.0003939741736419951,0.00031225073183082497,-3.340352495117146e-05,0.00022569046530923826,,,,,
2024-03-21,,,,,,-0.0004817675118837091,-0.0005098658973333148,-0.0006517125347004451,-0.0007544206422475049,-0.0009057427314584333,,,,,
2024-03-22,,,,,,-0.0013465988112992542,-0.001451321080163125,-0.0004655839846696093,-0.0013685240318673899,-0.0014515948826094667,,,,,
2024-03-25,,,,,,-0.0006966030036920589,-0.0007824639722187251,-0.0007658352676101102,-0.000650221642426819,-0.00047202950533129043,,,,,
2024-03-26,,,,,,-0.00033444519406456195,-0.00048520115755927616,-0.0003579041586548048,-0.00033390908150999,-0.0002722382030418239,,,,,
2024-03-27,,,,,,-0.0013788089964360906,-0.0016104109790632648,-0.0016647704436279285,-0.0016704039192860188,-0.0015473230057781663,,,,,
2024-03-28,,,,,,-0.0016310796685764094,-0.0017275885585597498,-0.001682006903407605,-0.0019747196296106334,-0.0015875403129292762,,,,,
2024-03-29,,,,,,-0.0009755897265195855,-0.0012258645856144525,-0.001456783199789005,-0.0012616866042883858,-0.0012563433149986906,,,,,
2024-04-01,,,,,,-0.0023820774537656334,-0.0023882627690769496,-0.0024492924608380713,-0.0026263851659978667,-0.002483136856824062,,,,,
2024-04-02,-0.002472465222835414,-0.0023384187703263653,-0.002500259540205543,-0.0024928954671410595,-0.002728672141608105,-0.0026062785743727005,-0.0026188637456978905,-0.002658823590311219,-0.0025058801434297397,-0.0024168151150201858,-0.011256752919918917,-0.007542274317942887,-0.00827878150775785,-0.006900173378245984,-0.008737765682761538
2024-04-03,-0.0019417904392055236,-0.0016366168866998763,-0.0017678423493838,-0.00176696188402433,-0.0019287067741203812,-0.0021857984644803497,-0.0021425400710116545,-0.002107642346039505,-0.002133124306350995,-0.002151522306382259,-0.00994239114827137,-0.006132240108349533,-0.005500879048267304,-0.003432912877245327,-0.005992898862787852
2024-04-04,-0.0016000966424659475,-0.0011658066204771333,-0.0013478320071660102,-0.0013601684693345761,-0.0014638684153500808,-0.002750019007128781,-0.002828825318043955,-0.0028869525685327525,-0.0028657024186785097,-0.0029974450417108002,-0.007820407872643063,-0.004357906618072534,-0.0036805614866535067,-0.004828687932547577,-0.0022891614423925185
